Situation,Population,Percentage,Number
stalked,femaleu,14,109
stalked,maleu,2,16
stalked,femalegrad,9,58
stalked,malegrad,3,27
abusiveRelationship,femaleu,8,67
abusiveRelationship,maleu,4,28
abusiveRelationship,femalegrad,4,26
abusiveRelationship,malegrad,2,24
harassed,femaleu,15,122
harassed,maleu,4,25
harassed,femalegrad,7,47
harassed,malegrad,2,22
assaulted,femaleu,10,81
assaulted,maleu,2,13
assaulted,femalegrad,3,19
assaulted,malegrad,1,6
raped,femaleu,5,38
raped,maleu,1,5
raped,femalegrad,1,5
raped,malegrad,0,2
